08:50:15.272 :: ##### 프로그램 시작 #####
08:50:16.277 :: JIF :: 25-장 개시 10분 전
08:50:16.746 :: 자동 로그인 시작
08:50:21.743 :: 로그인 시도..!!
08:50:22.216 :: 0000 :: 로그인 성공
08:50:22.464 :: t8430 :: 종목 기본 정보 저장 완료..!!
08:50:22.466 :: t8430 :: 시간 검색 타이머 구동
08:50:22.468 :: JIF :: 장 운영정보 실시간 접수 등록
08:50:22.471 :: JIF :: HTS -> API 연동 해제
08:50:22.473 :: 자동거래 중지..!!
08:50:31.355 :: 자동거래 시작..!!
08:50:32.239 :: 당일 재매수 여부:False 당일 매수된 종목수:0
08:50:32.244 :: 당일 재매수 여부:False 당일 매수된 종목수:0
08:50:32.246 :: 당일 재매수 여부:False 당일 매수된 종목수:0
08:50:32.249 :: 당일 재매수 여부:False 당일 매수된 종목수:0
08:50:35.238 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:50:35.240 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:50:35.241 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:50:35.242 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:50:38.298 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:50:38.300 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:50:38.301 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:50:38.303 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:50:41.347 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:50:41.349 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:50:41.350 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:50:41.351 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:50:44.420 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:50:44.423 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:50:44.424 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:50:44.426 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:50:47.425 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:50:47.426 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:50:47.428 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:50:47.429 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:50:50.475 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:50:50.477 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:50:50.479 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:50:50.481 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:50:53.517 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:50:53.519 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:50:53.521 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:50:53.524 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:50:56.590 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:50:56.593 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:50:56.594 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:50:56.596 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:50:59.620 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:50:59.622 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:50:59.625 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:50:59.626 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:02.641 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:02.643 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:02.645 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:02.646 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:05.706 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:05.715 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:05.718 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:05.721 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:08.731 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:08.733 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:08.734 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:08.735 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:11.789 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:11.790 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:11.791 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:11.792 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:14.854 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:14.856 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:14.859 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:14.860 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:17.850 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:17.852 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:17.854 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:17.857 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:20.894 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:20.896 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:20.898 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:20.900 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:23.962 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:23.965 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:23.966 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:23.968 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:30.033 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:30.035 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:30.037 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:30.040 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:33.070 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:33.072 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:33.075 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:33.077 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:36.110 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:36.112 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:36.114 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:36.115 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:39.193 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:39.195 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:39.197 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:39.198 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:42.234 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:42.236 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:42.237 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:42.238 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:45.285 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:45.286 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:45.287 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:45.289 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:48.285 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:48.287 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:48.289 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:48.292 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:51.334 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:51.337 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:51.339 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:51.340 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:54.370 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:54.372 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:54.374 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:54.376 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:57.411 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:57.413 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:57.415 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:51:57.416 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:52:00.449 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:52:00.451 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:52:00.453 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:52:00.454 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:52:03.499 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:52:03.501 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:52:03.502 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:52:03.505 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:52:06.557 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:52:06.559 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:52:06.561 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:52:06.564 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:52:09.620 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:52:09.622 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:52:09.623 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:52:09.624 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:52:12.662 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:52:12.664 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:52:12.666 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:52:12.667 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:52:15.696 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:52:15.697 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:52:15.698 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:52:15.699 :: 당일 재매수 여부:False 당일 매수된 종목수:4
