08:48:45.332 :: ##### 프로그램 시작 #####
08:48:45.776 :: JIF :: 11-장전 동시호가 개시
08:48:46.066 :: 자동 로그인 시작
08:48:48.694 :: 로그인 시도..!!
08:48:49.169 :: 0000 :: 로그인 성공
08:48:49.389 :: t8430 :: 종목 기본 정보 저장 완료..!!
08:48:49.391 :: t8430 :: 시간 검색 타이머 구동
08:48:49.392 :: JIF :: 장 운영정보 실시간 접수 등록
08:48:49.395 :: JIF :: HTS -> API 연동 해제
08:48:49.397 :: 자동거래 중지..!!
08:49:01.414 :: 자동거래 시작..!!
08:50:00.434 :: JIF :: 25-장 개시 10분 전
08:55:00.426 :: JIF :: 24-장 개시 5분 전
08:59:00.433 :: JIF :: 23-장 개시 1분 전
08:59:50.410 :: JIF :: 22-장 개시 10초 전
09:00:00.550 :: JIF :: 21-장 시작
09:00:11.788 :: 당일 재매수 여부:False 당일 매수된 종목수:5
09:00:11.798 :: [매수] :: 영원무역홀딩스 가격:102000
09:00:12.977 :: 당일 재매수 여부:False 당일 매수된 종목수:5
09:00:14.059 :: 당일 재매수 여부:False 당일 매수된 종목수:5
09:00:15.272 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:00:16.248 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:00:17.371 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:00:18.524 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:00:19.605 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:00:20.700 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:00:21.765 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:00:22.934 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:00:24.094 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:00:25.168 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:00:26.260 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:00:27.305 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:00:28.474 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:01:21.656 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:01:22.805 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:01:23.837 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:01:24.898 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:01:26.084 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:01:27.151 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:01:28.213 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:01:29.381 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:01:30.503 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:01:31.603 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:01:32.718 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:01:33.812 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:01:34.922 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:01:36.075 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:01:37.114 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:01:38.181 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:01:39.341 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:01:40.393 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:01:41.556 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:01:42.713 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:01:43.735 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:01:44.888 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:01:45.971 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:01:47.045 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:01:48.221 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:01:49.332 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:01:50.458 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:01:51.592 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:01:52.652 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:01:53.837 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:01:54.847 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:01:55.953 :: 당일 재매수 여부:False 당일 매수된 종목수:6
